"","time","ampm","usr","sys","iowait","timestamp","total"
"651","04:30:02","AM",0.63,0.18,0.01,"04:30:02 AM",0.82
"676","04:40:01","AM",0.57,0.17,0,"04:40:01 AM",0.74
"701","04:50:01","AM",0.67,0.18,0,"04:50:01 AM",0.85
"726","05:00:01","AM",0.59,0.17,0,"05:00:01 AM",0.76
"751","05:10:01","AM",0.65,0.18,0,"05:10:01 AM",0.83
"776","05:20:01","AM",0.57,0.17,0.01,"05:20:01 AM",0.75
"801","05:30:01","AM",0.89,0.19,0,"05:30:01 AM",1.08
"826","05:40:01","AM",0.66,0.18,0,"05:40:01 AM",0.84
"851","05:50:01","AM",0.68,0.18,0,"05:50:01 AM",0.86
"876","06:00:01","AM",0.78,0.19,0,"06:00:01 AM",0.97
"901","06:10:02","AM",0.99,0.21,0.01,"06:10:02 AM",1.21
"926","06:20:01","AM",0.68,0.18,0,"06:20:01 AM",0.86
"951","06:30:01","AM",0.85,0.19,0,"06:30:01 AM",1.04
"976","06:40:01","AM",0.63,0.18,0.01,"06:40:01 AM",0.82
"1001","06:50:01","AM",0.77,0.19,0.01,"06:50:01 AM",0.97
"1026","07:00:01","AM",0.89,0.19,0,"07:00:01 AM",1.08
"1051","07:10:01","AM",0.72,0.19,0,"07:10:01 AM",0.91
"1077","07:20:01","AM",0.67,0.18,0.01,"07:20:01 AM",0.86
"1102","07:30:01","AM",0.99,0.19,0.01,"07:30:01 AM",1.19
"1127","07:40:01","AM",0.62,0.18,0,"07:40:01 AM",0.8
"1152","07:50:01","AM",0.89,0.2,0.01,"07:50:01 AM",1.1
"1177","08:00:01","AM",0.84,0.2,0.01,"08:00:01 AM",1.05
"1202","08:10:01","AM",0.79,0.19,0.01,"08:10:01 AM",0.99
"1227","08:20:01","AM",0.72,0.19,0.01,"08:20:01 AM",0.92
"1252","08:30:01","AM",0.85,0.2,0.01,"08:30:01 AM",1.06
"1277","08:40:01","AM",1.14,0.23,0.01,"08:40:01 AM",1.38
"1302","08:50:01","AM",0.83,0.19,0.01,"08:50:01 AM",1.03
"1327","09:00:01","AM",1.19,0.21,0.01,"09:00:01 AM",1.41
"1352","09:10:01","AM",1.28,0.21,0.01,"09:10:01 AM",1.5
"1377","09:20:01","AM",0.86,0.19,0.01,"09:20:01 AM",1.06
"1402","09:30:01","AM",0.96,0.2,0.01,"09:30:01 AM",1.17
"1427","09:40:01","AM",0.95,0.2,0.01,"09:40:01 AM",1.16
"1452","09:50:01","AM",0.89,0.2,0.01,"09:50:01 AM",1.1
"1477","10:00:01","AM",1.15,0.22,0.01,"10:00:01 AM",1.38
"1502","10:10:01","AM",1.06,0.22,0.01,"10:10:01 AM",1.29
"1527","10:20:01","AM",1.09,0.22,0.02,"10:20:01 AM",1.33
"1552","10:30:01","AM",1.17,0.23,0.01,"10:30:01 AM",1.41
"1577","10:40:01","AM",1.06,0.22,0.01,"10:40:01 AM",1.29
"1602","10:50:01","AM",1.33,0.22,0.01,"10:50:01 AM",1.56
"1627","11:00:01","AM",1.19,0.22,0.02,"11:00:01 AM",1.43
"1652","11:10:01","AM",0.92,0.2,0.01,"11:10:01 AM",1.13
"1677","11:20:01","AM",1.08,0.21,0.01,"11:20:01 AM",1.3
"1702","11:30:01","AM",1.16,0.23,0.01,"11:30:01 AM",1.4
"1727","11:40:01","AM",1.21,0.22,0.01,"11:40:01 AM",1.44
"1752","11:50:01","AM",1.18,0.22,0.01,"11:50:01 AM",1.41
"1777","12:00:01","PM",1.09,0.21,0.01,"12:00:01 PM",1.31
"1802","12:10:01","PM",1.06,0.21,0.01,"12:10:01 PM",1.28
"1827","12:20:01","PM",1.14,0.21,0.01,"12:20:01 PM",1.36
"1852","12:30:01","PM",0.98,0.2,0.01,"12:30:01 PM",1.19
"1877","12:40:01","PM",1.11,0.22,0.02,"12:40:01 PM",1.35
"1902","12:50:01","PM",0.93,0.2,0.01,"12:50:01 PM",1.14
"1927","01:00:01","PM",0.97,0.21,0.01,"01:00:01 PM",1.19
"1952","01:10:01","PM",1,0.2,0.02,"01:10:01 PM",1.22
"1977","01:20:01","PM",0.98,0.2,0.01,"01:20:01 PM",1.19
"2002","01:30:01","PM",1.04,0.21,0.01,"01:30:01 PM",1.26
"2027","01:40:01","PM",1.21,0.23,0.02,"01:40:01 PM",1.46
"2052","01:50:01","PM",1,0.21,0.01,"01:50:01 PM",1.22
"2077","02:00:01","PM",1.07,0.22,0.01,"02:00:01 PM",1.3
"2102","02:10:01","PM",1.02,0.2,0.01,"02:10:01 PM",1.23
"2127","02:20:01","PM",1.04,0.21,0.01,"02:20:01 PM",1.26
"2153","02:30:01","PM",1.34,0.22,0.01,"02:30:01 PM",1.57
"2178","02:40:01","PM",1.26,0.22,0.01,"02:40:01 PM",1.49
"2203","02:50:01","PM",1.14,0.23,0.01,"02:50:01 PM",1.38
"2228","03:00:01","PM",1.1,0.22,0.01,"03:00:01 PM",1.33
"2253","03:10:02","PM",1.27,0.23,0.01,"03:10:02 PM",1.51
"2278","03:20:01","PM",1.14,0.22,0.01,"03:20:01 PM",1.37
"2303","03:30:01","PM",1.14,0.22,0.01,"03:30:01 PM",1.37
"2328","03:40:01","PM",1.04,0.21,0.01,"03:40:01 PM",1.26
"2353","03:50:01","PM",1.08,0.22,0.01,"03:50:01 PM",1.31
"2378","04:00:01","PM",1.14,0.22,0.01,"04:00:01 PM",1.37
"2403","04:10:01","PM",1.2,0.22,0.01,"04:10:01 PM",1.43
"2428","04:20:01","PM",1.16,0.21,0.01,"04:20:01 PM",1.38
"2453","04:30:01","PM",1.16,0.21,0.01,"04:30:01 PM",1.38
"2478","04:40:01","PM",0.98,0.2,0.01,"04:40:01 PM",1.19
"2503","04:50:01","PM",1.02,0.2,0.01,"04:50:01 PM",1.23
"2528","05:00:01","PM",0.9,0.19,0.01,"05:00:01 PM",1.1
"2553","05:10:01","PM",0.96,0.2,0.02,"05:10:01 PM",1.18
"2578","05:20:01","PM",0.86,0.2,0.01,"05:20:01 PM",1.07
"2603","05:30:01","PM",0.88,0.2,0.01,"05:30:01 PM",1.09
"2628","05:40:01","PM",0.86,0.2,0.01,"05:40:01 PM",1.07
"2653","05:50:01","PM",0.79,0.19,0.01,"05:50:01 PM",0.99
"2678","06:00:01","PM",1.01,0.21,0.01,"06:00:01 PM",1.23
"2703","06:10:01","PM",1.08,0.2,0.01,"06:10:01 PM",1.29
"2728","06:20:01","PM",0.86,0.2,0.01,"06:20:01 PM",1.07
"2753","06:30:01","PM",0.94,0.2,0.01,"06:30:01 PM",1.15
"2778","06:40:01","PM",0.96,0.2,0.01,"06:40:01 PM",1.17
"2803","06:50:01","PM",0.88,0.19,0.01,"06:50:01 PM",1.08
"2828","07:00:01","PM",0.95,0.2,0.01,"07:00:01 PM",1.16
"2853","07:10:01","PM",1.01,0.21,0.01,"07:10:01 PM",1.23
"2878","07:20:01","PM",0.92,0.2,0.01,"07:20:01 PM",1.13
"2903","07:30:01","PM",0.84,0.19,0.01,"07:30:01 PM",1.04
"2928","07:40:01","PM",1.06,0.21,0.02,"07:40:01 PM",1.29
"2953","07:50:01","PM",0.95,0.2,0.01,"07:50:01 PM",1.16
"2978","08:00:01","PM",0.98,0.21,0.01,"08:00:01 PM",1.2
"3003","08:10:01","PM",0.91,0.2,0.01,"08:10:01 PM",1.12
"3028","08:20:01","PM",0.86,0.2,0.01,"08:20:01 PM",1.07
"3053","08:30:01","PM",0.88,0.2,0.01,"08:30:01 PM",1.09
"3078","08:40:01","PM",0.83,0.2,0.01,"08:40:01 PM",1.04
"3103","08:50:01","PM",0.97,0.21,0.01,"08:50:01 PM",1.19
"3128","09:00:01","PM",0.91,0.2,0.02,"09:00:01 PM",1.13
"3153","09:10:01","PM",0.9,0.2,0.01,"09:10:01 PM",1.11
"3178","09:20:01","PM",0.86,0.19,0.01,"09:20:01 PM",1.06
"3203","09:30:01","PM",0.94,0.2,0.01,"09:30:01 PM",1.15
"3229","09:40:01","PM",0.85,0.19,0.02,"09:40:01 PM",1.06
"3254","09:50:01","PM",0.73,0.18,0.01,"09:50:01 PM",0.92
"3279","10:00:01","PM",0.92,0.2,0.01,"10:00:01 PM",1.13
"3304","10:10:01","PM",0.78,0.19,0.02,"10:10:01 PM",0.99
"3329","10:20:01","PM",0.89,0.2,0.01,"10:20:01 PM",1.1
"3354","10:30:01","PM",0.74,0.18,0.01,"10:30:01 PM",0.93
"3379","10:40:02","PM",0.88,0.19,0.01,"10:40:02 PM",1.08
"3404","10:50:01","PM",0.76,0.19,0.01,"10:50:01 PM",0.96
"3429","11:00:01","PM",0.76,0.19,0.01,"11:00:01 PM",0.96
"3454","11:10:01","PM",1.03,0.22,0.01,"11:10:01 PM",1.26
"3479","11:20:01","PM",0.73,0.18,0.01,"11:20:01 PM",0.92
"3504","11:30:01","PM",0.73,0.19,0.01,"11:30:01 PM",0.93
"3529","11:40:01","PM",0.78,0.19,0.01,"11:40:01 PM",0.98
"3554","11:50:01","PM",0.87,0.19,0.01,"11:50:01 PM",1.07
